nominal;data;curs;cdx
100;02.07.2022;11,4316;Казахстанский тенге
100;01.07.2022;11,2910;Казахстанский тенге
100;30.06.2022;11,2176;Казахстанский тенге
100;29.06.2022;11,4915;Казахстанский тенге
100;28.06.2022;11,3324;Казахстанский тенге
100;25.06.2022;11,4721;Казахстанский тенге
100;24.06.2022;11,7500;Казахстанский тенге
100;23.06.2022;11,8944;Казахстанский тенге
100;22.06.2022;12,3422;Казахстанский тенге
100;21.06.2022;12,5703;Казахстанский тенге
100;18.06.2022;12,8254;Казахстанский тенге
100;17.06.2022;12,9711;Казахстанский тенге
100;16.06.2022;12,9983;Казахстанский тенге
100;15.06.2022;13,0892;Казахстанский тенге
100;11.06.2022;13,2973;Казахстанский тенге
100;10.06.2022;13,4709;Казахстанский тенге
100;09.06.2022;14,0258;Казахстанский тенге
100;08.06.2022;14,1142;Казахстанский тенге
100;07.06.2022;14,1473;Казахстанский тенге
100;04.06.2022;14,3181;Казахстанский тенге
100;03.06.2022;14,5012;Казахстанский тенге
100;02.06.2022;14,8246;Казахстанский тенге
100;01.06.2022;14,4147;Казахстанский тенге
100;31.05.2022;14,5621;Казахстанский тенге
100;28.05.2022;15,7349;Казахстанский тенге
100;27.05.2022;14,9474;Казахстанский тенге
100;26.05.2022;13,5040;Казахстанский тенге
100;25.05.2022;13,4095;Казахстанский тенге
100;24.05.2022;13,6955;Казахстанский тенге
100;21.05.2022;13,6497;Казахстанский тенге
100;20.05.2022;14,4221;Казахстанский тенге
100;19.05.2022;14,6871;Казахстанский тенге
100;18.05.2022;14,7922;Казахстанский тенге
100;17.05.2022;14,8290;Казахстанский тенге
100;14.05.2022;14,6701;Казахстанский тенге
100;13.05.2022;14,8645;Казахстанский тенге
100;12.05.2022;15,8443;Казахстанский тенге
100;07.05.2022;15,7514;Казахстанский тенге
100;06.05.2022;15,1626;Казахстанский тенге
100;05.05.2022;15,7178;Казахстанский тенге
100;30.04.2022;15,8362;Казахстанский тенге
100;29.04.2022;16,0817;Казахстанский тенге
100;28.04.2022;16,0687;Казахстанский тенге
100;27.04.2022;16,2203;Казахстанский тенге
100;26.04.2022;16,5231;Казахстанский тенге
100;23.04.2022;16,5537;Казахстанский тенге
100;22.04.2022;16,8905;Казахстанский тенге
100;21.04.2022;17,3774;Казахстанский тенге
100;20.04.2022;17,5678;Казахстанский тенге
100;19.04.2022;17,4902;Казахстанский тенге
100;16.04.2022;17,8593;Казахстанский тенге
100;15.04.2022;18,0572;Казахстанский тенге
100;14.04.2022;17,7541;Казахстанский тенге
100;13.04.2022;17,7135;Казахстанский тенге
100;12.04.2022;17,7134;Казахстанский тенге
100;09.04.2022;16,3118;Казахстанский тенге
100;08.04.2022;16,4975;Казахстанский тенге
100;07.04.2022;17,8428;Казахстанский тенге
100;06.04.2022;17,6309;Казахстанский тенге
100;05.04.2022;17,6894;Казахстанский тенге
100;02.04.2022;17,5449;Казахстанский тенге
100;01.04.2022;17,7349;Казахстанский тенге
100;31.03.2022;18,0649;Казахстанский тенге
100;30.03.2022;18,4763;Казахстанский тенге
100;29.03.2022;19,4731;Казахстанский тенге
100;26.03.2022;19,3977;Казахстанский тенге
100;25.03.2022;19,4515;Казахстанский тенге
100;24.03.2022;20,3014;Казахстанский тенге
100;23.03.2022;20,5133;Казахстанский тенге
100;22.03.2022;20,6331;Казахстанский тенге
100;19.03.2022;20,4893;Казахстанский тенге
100;18.03.2022;20,6141;Казахстанский тенге
100;17.03.2022;21,2006;Казахстанский тенге
100;16.03.2022;21,7075;Казахстанский тенге
100;15.03.2022;22,4903;Казахстанский тенге
100;12.03.2022;22,8376;Казахстанский тенге
100;11.03.2022;23,1488;Казахстанский тенге
100;10.03.2022;23,0647;Казахстанский тенге
100;06.03.2022;20,7345;Казахстанский тенге
100;05.03.2022;21,0524;Казахстанский тенге
100;04.03.2022;22,5809;Казахстанский тенге
100;03.03.2022;20,9806;Казахстанский тенге
100;02.03.2022;18,6621;Казахстанский тенге
100;01.03.2022;18,8393;Казахстанский тенге
100;26.02.2022;18,0019;Казахстанский тенге
100;25.02.2022;18,5306;Казахстанский тенге
100;23.02.2022;18,4681;Казахстанский тенге
100;22.02.2022;17,9530;Казахстанский тенге
100;19.02.2022;17,6931;Казахстанский тенге
100;18.02.2022;17,6786;Казахстанский тенге
100;17.02.2022;17,5533;Казахстанский тенге
100;16.02.2022;17,6945;Казахстанский тенге
100;15.02.2022;17,7650;Казахстанский тенге
100;12.02.2022;17,4631;Казахстанский тенге
100;11.02.2022;17,5018;Казахстанский тенге
100;10.02.2022;17,5590;Казахстанский тенге
100;09.02.2022;17,5965;Казахстанский тенге
100;08.02.2022;17,5695;Казахстанский тенге
100;05.02.2022;17,5942;Казахстанский тенге
100;04.02.2022;17,6308;Казахстанский тенге
100;03.02.2022;17,6253;Казахстанский тенге
100;02.02.2022;17,7719;Казахстанский тенге
100;01.02.2022;17,8379;Казахстанский тенге
100;29.01.2022;17,8808;Казахстанский тенге
100;28.01.2022;18,1675;Казахстанский тенге
100;27.01.2022;18,1167;Казахстанский тенге
100;26.01.2022;18,0165;Казахстанский тенге
100;25.01.2022;17,7402;Казахстанский тенге
100;22.01.2022;17,5815;Казахстанский тенге
100;21.01.2022;17,5323;Казахстанский тенге
100;20.01.2022;17,5964;Казахстанский тенге
100;19.01.2022;17,5200;Казахстанский тенге
100;18.01.2022;17,4625;Казахстанский тенге
100;15.01.2022;17,3677;Казахстанский тенге
100;14.01.2022;17,1442;Казахстанский тенге
100;13.01.2022;17,1367;Казахстанский тенге
100;12.01.2022;17,1858;Казахстанский тенге
100;11.01.2022;17,2328;Казахстанский тенге
100;31.12.2021;16,9000;Казахстанский тенге
100;30.12.2021;16,9158;Казахстанский тенге
100;29.12.2021;16,9248;Казахстанский тенге
100;28.12.2021;16,8993;Казахстанский тенге
100;25.12.2021;16,9007;Казахстанский тенге
100;24.12.2021;16,8137;Казахстанский тенге
100;23.12.2021;16,9146;Казахстанский тенге
100;22.12.2021;16,8598;Казахстанский тенге
100;21.12.2021;16,9121;Казахстанский тенге
100;18.12.2021;16,8359;Казахстанский тенге
100;17.12.2021;16,7989;Казахстанский тенге
100;16.12.2021;16,8398;Казахстанский тенге
100;15.12.2021;16,7912;Казахстанский тенге
100;14.12.2021;16,8373;Казахстанский тенге
100;11.12.2021;16,8531;Казахстанский тенге
100;10.12.2021;16,9020;Казахстанский тенге
100;09.12.2021;16,9002;Казахстанский тенге
100;08.12.2021;16,9773;Казахстанский тенге
100;07.12.2021;16,8214;Казахстанский тенге
100;04.12.2021;16,8113;Казахстанский тенге
100;03.12.2021;16,7926;Казахстанский тенге
100;02.12.2021;16,9569;Казахстанский тенге
100;01.12.2021;17,0443;Казахстанский тенге
100;30.11.2021;17,1152;Казахстанский тенге
100;27.11.2021;17,3385;Казахстанский тенге
100;26.11.2021;17,2327;Казахстанский тенге
100;25.11.2021;17,1880;Казахстанский тенге
100;24.11.2021;17,2465;Казахстанский тенге
100;23.11.2021;16,9456;Казахстанский тенге
100;20.11.2021;16,8391;Казахстанский тенге
100;19.11.2021;16,7518;Казахстанский тенге
100;18.11.2021;16,8552;Казахстанский тенге
100;17.11.2021;16,8283;Казахстанский тенге
100;16.11.2021;16,7880;Казахстанский тенге
100;13.11.2021;16,6927;Казахстанский тенге
100;12.11.2021;16,5669;Казахстанский тенге
100;11.11.2021;16,4867;Казахстанский тенге
100;10.11.2021;16,5995;Казахстанский тенге
100;09.11.2021;16,6292;Казахстанский тенге
100;04.11.2021;16,6852;Казахстанский тенге
100;03.11.2021;16,7123;Казахстанский тенге
100;02.11.2021;16,6031;Казахстанский тенге
100;30.10.2021;16,4940;Казахстанский тенге
100;29.10.2021;16,4941;Казахстанский тенге
100;28.10.2021;16,3586;Казахстанский тенге
100;27.10.2021;16,3365;Казахстанский тенге
100;26.10.2021;16,4945;Казахстанский тенге
100;23.10.2021;16,6363;Казахстанский тенге
100;22.10.2021;16,6527;Казахстанский тенге
100;21.10.2021;16,6680;Казахстанский тенге
100;20.10.2021;16,6708;Казахстанский тенге
100;19.10.2021;16,7246;Казахстанский тенге
100;16.10.2021;16,7223;Казахстанский тенге
100;15.10.2021;16,8489;Казахстанский тенге
100;14.10.2021;16,8660;Казахстанский тенге
100;13.10.2021;16,8911;Казахстанский тенге
100;12.10.2021;16,8558;Казахстанский тенге
100;09.10.2021;16,9245;Казахстанский тенге
100;08.10.2021;16,9704;Казахстанский тенге
100;07.10.2021;17,0568;Казахстанский тенге
100;06.10.2021;17,0770;Казахстанский тенге
100;05.10.2021;17,1324;Казахстанский тенге
100;02.10.2021;17,0997;Казахстанский тенге
100;01.10.2021;17,0653;Казахстанский тенге
100;30.09.2021;17,0920;Казахстанский тенге
100;29.09.2021;17,0728;Казахстанский тенге
100;28.09.2021;17,1008;Казахстанский тенге
100;25.09.2021;17,1683;Казахстанский тенге
100;24.09.2021;17,1016;Казахстанский тенге
100;23.09.2021;17,1101;Казахстанский тенге
100;22.09.2021;17,1726;Казахстанский тенге
100;21.09.2021;17,1998;Казахстанский тенге
100;18.09.2021;17,0389;Казахстанский тенге
100;17.09.2021;17,0290;Казахстанский тенге
100;16.09.2021;17,0754;Казахстанский тенге
100;15.09.2021;17,0597;Казахстанский тенге
100;14.09.2021;17,1378;Казахстанский тенге
100;11.09.2021;17,0638;Казахстанский тенге
100;10.09.2021;17,1523;Казахстанский тенге
100;09.09.2021;17,1996;Казахстанский тенге
100;08.09.2021;17,1669;Казахстанский тенге
100;07.09.2021;17,1153;Казахстанский тенге
100;04.09.2021;17,1239;Казахстанский тенге
100;03.09.2021;17,0905;Казахстанский тенге
100;02.09.2021;17,1607;Казахстанский тенге
100;01.09.2021;17,1752;Казахстанский тенге
100;31.08.2021;17,2184;Казахстанский тенге
100;28.08.2021;17,3048;Казахстанский тенге
100;27.08.2021;17,3402;Казахстанский тенге
100;26.08.2021;17,3125;Казахстанский тенге
100;25.08.2021;17,3849;Казахстанский тенге
100;24.08.2021;17,3926;Казахстанский тенге
100;21.08.2021;17,3992;Казахстанский тенге
100;20.08.2021;17,3573;Казахстанский тенге
100;19.08.2021;17,2571;Казахстанский тенге
100;18.08.2021;17,2802;Казахстанский тенге
100;17.08.2021;17,2403;Казахстанский тенге
100;14.08.2021;17,2774;Казахстанский тенге
100;13.08.2021;17,3160;Казахстанский тенге
100;12.08.2021;17,3597;Казахстанский тенге
100;11.08.2021;17,2720;Казахстанский тенге
100;10.08.2021;17,2291;Казахстанский тенге
100;07.08.2021;17,2254;Казахстанский тенге
100;06.08.2021;17,1937;Казахстанский тенге
100;05.08.2021;17,1482;Казахстанский тенге
100;04.08.2021;17,1747;Казахстанский тенге
100;03.08.2021;17,1925;Казахстанский тенге
100;31.07.2021;17,1891;Казахстанский тенге
100;30.07.2021;17,2093;Казахстанский тенге
100;29.07.2021;17,2813;Казахстанский тенге
100;28.07.2021;17,3515;Казахстанский тенге
100;27.07.2021;17,3819;Казахстанский тенге
100;24.07.2021;17,3264;Казахстанский тенге
100;23.07.2021;17,2852;Казахстанский тенге
100;22.07.2021;17,4035;Казахстанский тенге
100;21.07.2021;17,3843;Казахстанский тенге
100;20.07.2021;17,3647;Казахстанский тенге
100;17.07.2021;17,3712;Казахстанский тенге
100;16.07.2021;17,4002;Казахстанский тенге
100;15.07.2021;17,3512;Казахстанский тенге
100;14.07.2021;17,3158;Казахстанский тенге
100;13.07.2021;17,4107;Казахстанский тенге
100;10.07.2021;17,3424;Казахстанский тенге
100;09.07.2021;17,4550;Казахстанский тенге
100;08.07.2021;17,2914;Казахстанский тенге
100;07.07.2021;17,1823;Казахстанский тенге
100;06.07.2021;17,2029;Казахстанский тенге
100;03.07.2021;17,2247;Казахстанский тенге
100;02.07.2021;17,0648;Казахстанский тенге
100;01.07.2021;16,9778;Казахстанский тенге
100;30.06.2021;16,8899;Казахстанский тенге
100;29.06.2021;16,9266;Казахстанский тенге
100;26.06.2021;16,8760;Казахстанский тенге
100;25.06.2021;16,8673;Казахстанский тенге
100;24.06.2021;17,0003;Казахстанский тенге
100;23.06.2021;17,1311;Казахстанский тенге
100;22.06.2021;17,1027;Казахстанский тенге
100;19.06.2021;16,8527;Казахстанский тенге
100;18.06.2021;16,9505;Казахстанский тенге
